year,office,state,special,election_date,forecast_date,forecast_type,party,candidate,projected_voteshare,actual_voteshare,probwin,probwin_outcome
2022,Governor,WY,false,2022-11-08,2022-11-08,lite,D,Theresa A. Livingston,27.4737,15.817525773195875,.00025,0
2022,Governor,WY,false,2022-11-08,2022-11-08,lite,R,Mark Gordon,70.32999,74.0701030927835,.99975,1
2022,Governor,WY,false,2022-11-08,2022-11-08,lite,I,Jared J. Baldes,2.196316,4.204639175257732,0,0
2022,Governor,WI,false,2022-11-08,2022-11-08,lite,D,Tony Evers,49.27819,51.14922322312525,.4989,1
2022,Governor,WI,false,2022-11-08,2022-11-08,lite,R,Tim Michels,49.28858,47.752297204205554,.5011,0
2022,Governor,WI,false,2022-11-08,2022-11-08,lite,I,Joan Ellis Beglinger,1.433228,1.023832199631845,0,0
2022,Governor,VT,false,2022-11-08,2022-11-08,lite,D,Brenda Siegel,27.82681,23.963399004919225,.000725,0
2022,Governor,VT,false,2022-11-08,2022-11-08,lite,R,Phil Scott,66.26994,70.97833223900197,.999275,1
2022,Governor,TX,false,2022-11-08,2022-11-08,lite,D,Beto O'Rourke,44.67329,43.85655125295758,.055325,0
2022,Governor,TX,false,2022-11-08,2022-11-08,lite,R,Greg Abbott,53.25823,54.75934072064005,.944675,1
2022,Governor,TN,false,2022-11-08,2022-11-08,lite,D,Jason Brantley Martin,31.95247,32.9,.005375,0
2022,Governor,TN,false,2022-11-08,2022-11-08,lite,R,Bill Lee,55.48975,64.9,.994625,1
2022,Governor,SD,false,2022-11-08,2022-11-08,lite,D,Jamie Smith,41.03997,35.1684629575687,.0227,0
2022,Governor,SD,false,2022-11-08,2022-11-08,lite,R,Kristi Noem,56.87264,61.980603485204156,.9773,1
2022,Governor,SD,false,2022-11-08,2022-11-08,lite,I,Tracey Quint,2.087388,2.8509335572271435,0,0
2022,Governor,SC,false,2022-11-08,2022-11-08,lite,D,Joe Cunningham,44.79692,40.67016519570313,.10565,0
2022,Governor,SC,false,2022-11-08,2022-11-08,lite,R,Henry McMaster,53.44904,58.03814249949507,.89435,1
2022,Governor,SC,false,2022-11-08,2022-11-08,lite,I,Bruce Reeves,1.754044,1.2227629063546563,0,0
2022,Governor,RI,false,2022-11-08,2022-11-08,lite,D,Daniel J. McKee,54.1874,57.92098862079571,.958575,1
2022,Governor,RI,false,2022-11-08,2022-11-08,lite,R,Ashley Kalus,41.5593,38.86291833254117,.041425,0
2022,Governor,PA,false,2022-11-08,2022-11-08,lite,D,Josh Shapiro,54.18604,56.485946517997256,.98075,1
2022,Governor,PA,false,2022-11-08,2022-11-08,lite,R,Douglas V. Mastriano,43.97252,41.71454213510209,.01925,0
2022,Governor,OR,false,2022-11-08,2022-11-08,lite,D,Tina Kotek,44.35952,46.96000733274855,.655375,1
2022,Governor,OR,false,2022-11-08,2022-11-08,lite,R,Christine Drazan,42.25209,43.5431615718914,.343925,0
2022,Governor,OR,false,2022-11-08,2022-11-08,lite,I,Betsy Johnson,11.55594,8.624735839269428,.0007,0
2022,Governor,OK,false,2022-11-08,2022-11-08,lite,D,Joy Hofmeister,45.69229,41.78537116616549,.21785,0
2022,Governor,OK,false,2022-11-08,2022-11-08,lite,R,Kevin Stitt,50.91601,55.44896140066107,.78215,1
2022,Governor,OH,false,2022-11-08,2022-11-08,lite,D,Nan Whaley,39.78205,37.37690383534988,.000225,0
2022,Governor,OH,false,2022-11-08,2022-11-08,lite,R,Mike DeWine,60.21795,62.40630616098133,.999775,1
2022,Governor,NY,false,2022-11-08,2022-11-08,lite,D,Kathy C. Hochul,54.14153,48.69676466936816,.956325,1
2022,Governor,NY,false,2022-11-08,2022-11-08,lite,R,Lee M. Zeldin,45.85847,41.42888216165456,.043675,0
2022,Governor,NV,false,2022-11-08,2022-11-08,lite,D,Steve Sisolak,47.88964,47.2970970619319,.35865,0
2022,Governor,NV,false,2022-11-08,2022-11-08,lite,R,Joe Lombardo,49.60601,48.80690354254021,.64135,1
2022,Governor,NM,false,2022-11-08,2022-11-08,lite,D,Michelle Lujan Grisham,51.57378,51.97120136580106,.8262,1
2022,Governor,NM,false,2022-11-08,2022-11-08,lite,R,Mark V. Ronchetti,46.28685,45.587681957049156,.1738,0
2022,Governor,NM,false,2022-11-08,2022-11-08,lite,I,Karen Bedonie,2.13936,2.4411166771497887,0,0
