season,team1,team2,period,secs,prob1,prob1_outcome,prob2,prob2_outcome,probwin,probwin_outcome
2016,Fairleigh Dickinson,Florida Gulf Coast,1,1200,0.328,0,0.6719999999999999,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,1187,0.323,0,0.677,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,1164,0.313,0,0.687,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,1152,0.303,0,0.6970000000000001,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,1141,0.294,0,0.706,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,1131,0.282,0,0.718,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,1112,0.268,0,0.732,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,1105,0.263,0,0.737,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,1101,0.246,0,0.754,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,1081,0.226,0,0.774,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,1074,0.225,0,0.775,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,1069,0.216,0,0.784,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,1060,0.213,0,0.787,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,1032,0.186,0,0.8140000000000001,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,1023,0.166,0,0.834,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,1009,0.154,0,0.846,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,1002,0.173,0,0.827,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,984,0.165,0,0.835,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,977,0.152,0,0.848,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,970,0.127,0,0.873,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,945,0.111,0,0.889,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,934,0.119,0,0.881,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,918,0.12,0,0.88,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,914,0.12,0,0.88,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,903,0.111,0,0.889,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,893,0.119,0,0.881,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,879,0.119,0,0.881,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,874,0.111,0,0.889,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,858,0.094,0,0.906,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,848,0.087,0,0.913,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,840,0.092,0,0.908,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,811,0.107,0,0.893,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,797,0.113,0,0.887,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,783,0.12,0,0.88,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,766,0.127,0,0.873,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,754,0.117,0,0.883,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,734,0.101,0,0.899,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,698,0.092,0,0.908,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,691,0.072,0,0.928,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,679,0.072,0,0.928,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,674,0.06,0,0.94,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,649,0.056,0,0.944,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,626,0.046,0,0.954,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,607,0.043,0,0.957,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,582,0.048,0,0.952,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,572,0.056,0,0.944,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,552,0.056,0,0.944,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,545,0.06,0,0.94,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,526,0.079,0,0.921,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,504,0.059,0,0.9410000000000001,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,488,0.054,0,0.946,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,484,0.054,0,0.946,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,472,0.057,0,0.943,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,461,0.053,0,0.947,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,450,0.053,0,0.947,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,437,0.056,0,0.944,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,416,0.052,0,0.948,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,395,0.057,0,0.943,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,386,0.045,0,0.955,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,382,0.05,0,0.95,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,356,0.059,0,0.9410000000000001,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,328,0.043,0,0.957,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,308,0.038,0,0.962,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,296,0.041,0,0.959,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,291,0.037,0,0.963,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,281,0.031,0,0.969,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,265,0.031,0,0.969,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,259,0.028,0,0.972,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,249,0.031,0,0.969,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,245,0.028,0,0.972,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,233,0.023,0,0.977,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,212,0.019,0,0.981,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,199,0.02,0,0.98,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,186,0.017,0,0.983,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,184,0.014,0,0.986,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,160,0.014,0,0.986,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,156,0.014,0,0.986,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,145,0.017,0,0.983,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,127,0.014,0,0.986,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,114,0.017,0,0.983,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,109,0.018,0,0.982,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,103,0.017,0,0.983,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,98,0.018,0,0.982,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,93,0.023,0,0.977,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,67,0.017,0,0.983,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,44,0.015,0,0.985,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,15,0.017,0,0.983,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,2,0.015,0,0.985,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,1,0,0.015,0,0.985,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,1200,0.017,0,0.983,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,1179,0.017,0,0.983,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,1175,0.017,0,0.983,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,1152,0.024,0,0.976,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,1122,0.023,0,0.977,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,1120,0.026,0,0.974,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,1110,0.037,0,0.963,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,1103,0.041,0,0.959,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,1101,0.036,0,0.964,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,1100,0.036,0,0.964,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,1092,0.025,0,0.975,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,1079,0.03,0,0.97,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,1073,0.03,0,0.97,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,1062,0.033,0,0.967,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,1050,0.029,0,0.971,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,1039,0.019,0,0.981,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,1028,0.024,0,0.976,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,1014,0.023,0,0.977,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,1008,0.023,0,0.977,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,997,0.018,0,0.982,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,986,0.026,0,0.974,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,968,0.03,0,0.97,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,964,0.026,0,0.974,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,957,0.03,0,0.97,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,950,0.031,0,0.969,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,943,0.036,0,0.964,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,932,0.036,0,0.964,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,922,0.031,0,0.969,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,912,0.021,0,0.979,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,888,0.025,0,0.975,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,875,0.017,0,0.983,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,855,0.016,0,0.984,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,850,0.016,0,0.984,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,842,0.02,0,0.98,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,837,0.015,0,0.985,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,831,0.013,0,0.987,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,813,0.008,0,0.992,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,791,0.007,0,0.993,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,772,0.005,0,0.995,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,765,0.008,0,0.992,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,754,0.006,0,0.994,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,743,0.006,0,0.994,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,741,0.007,0,0.993,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,736,0.009,0,0.991,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,728,0.01,0,0.99,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,722,0.009,0,0.991,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,703,0.007,0,0.993,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,700,0.008,0,0.992,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,683,0.005,0,0.995,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,664,0.004,0,0.996,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,649,0.004,0,0.996,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,638,0.005,0,0.995,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,617,0.005,0,0.995,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,609,0.004,0,0.996,1,,0
2016,Fairleigh Dickinson,Florida Gulf Coast,2,606,0.003,0,0.997,1,,0
