season,forecast_date,team,rd1_win,rd1_win_outcome,rd2_win,rd2_win_outcome,rd3_win,rd3_win_outcome,rd4_win,rd4_win_outcome,rd5_win,rd5_win_outcome,rd6_win,rd6_win_outcome,rd7_win,rd7_win_outcome
2015,2015-04-07,Connecticut,1,1,1,1,1,1,1,1,1,1,1,1,0.86237,1.0
2015,2015-04-07,Notre Dame,1,1,1,1,1,1,1,1,1,1,1,1,0.13763,0.0
2015,2015-04-07,Maryland,1,1,1,1,1,1,1,1,1,1,0,0,0,0.0
2015,2015-04-07,South Carolina,1,1,1,1,1,1,1,1,1,1,0,0,0,0.0
2015,2015-04-07,Florida State,1,1,1,1,1,1,1,1,0,0,0,0,0,0.0
2015,2015-04-07,Baylor,1,1,1,1,1,1,1,1,0,0,0,0,0,0.0
2015,2015-04-07,Tennessee,1,1,1,1,1,1,1,1,0,0,0,0,0,0.0
2015,2015-04-07,Dayton,1,1,1,1,1,1,1,1,0,0,0,0,0,0.0
2015,2015-04-07,Arizona State,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0
2015,2015-04-07,Louisville,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0
2015,2015-04-07,Iowa,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0
2015,2015-04-07,Stanford,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0
2015,2015-04-07,Duke,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0
2015,2015-04-07,North Carolina,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0
2015,2015-04-07,Texas,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0
2015,2015-04-07,Gonzaga,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0
2015,2015-04-07,Kentucky,1,1,1,1,0,0,0,0,0,0,0,0,0,0.0
2015,2015-04-07,Oregon State,1,1,1,1,0,0,0,0,0,0,0,0,0,0.0
2015,2015-04-07,California,1,1,1,1,0,0,0,0,0,0,0,0,0,0.0
2015,2015-04-07,Ohio State,1,1,1,1,0,0,0,0,0,0,0,0,0,0.0
2015,2015-04-07,Oklahoma,1,1,1,1,0,0,0,0,0,0,0,0,0,0.0
2015,2015-04-07,Mississippi State,1,1,1,1,0,0,0,0,0,0,0,0,0,0.0
2015,2015-04-07,South Florida,1,1,1,1,0,0,0,0,0,0,0,0,0,0.0
2015,2015-04-07,Florida Gulf Coast,1,1,1,1,0,0,0,0,0,0,0,0,0,0.0
2015,2015-04-07,Princeton,1,1,1,1,0,0,0,0,0,0,0,0,0,0.0
2015,2015-04-07,Rutgers,1,1,1,1,0,0,0,0,0,0,0,0,0,0.0
2015,2015-04-07,Syracuse,1,1,1,1,0,0,0,0,0,0,0,0,0,0.0
2015,2015-04-07,DePaul,1,1,1,1,0,0,0,0,0,0,0,0,0,0.0
2015,2015-04-07,Arkansas,1,1,1,1,0,0,0,0,0,0,0,0,0,0.0
2015,2015-04-07,Pittsburgh,1,1,1,1,0,0,0,0,0,0,0,0,0,0.0
2015,2015-04-07,Arkansas-Little Rock,1,1,1,1,0,0,0,0,0,0,0,0,0,0.0
2015,2015-04-07,Miami,1,1,1,1,0,0,0,0,0,0,0,0,0,0.0
2015,2015-04-07,George Washington,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
2015,2015-04-07,Texas A&M,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
2015,2015-04-07,Washington,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
2015,2015-04-07,Northwestern,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
2015,2015-04-07,Chattanooga,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
2015,2015-04-07,Minnesota,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
2015,2015-04-07,Nebraska,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
2015,2015-04-07,Seton Hall,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
2015,2015-04-07,Green Bay,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
2015,2015-04-07,Iowa State,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
2015,2015-04-07,Oklahoma State,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
2015,2015-04-07,Louisiana State,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
2015,2015-04-07,Western Kentucky,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
2015,2015-04-07,James Madison,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
2015,2015-04-07,Quinnipiac,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
2015,2015-04-07,Tulane,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
2015,2015-04-07,Albany,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
2015,2015-04-07,Liberty,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
2015,2015-04-07,Cal State Northridge,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
2015,2015-04-07,Wichita State,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
2015,2015-04-07,American University,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
2015,2015-04-07,Ohio,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
2015,2015-04-07,BYU,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
2015,2015-04-07,South Dakota State,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
2015,2015-04-07,Boise State,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
2015,2015-04-07,Alabama State,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
2015,2015-04-07,Northwestern State,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
2015,2015-04-07,Tennessee State,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
2015,2015-04-07,Montana,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
2015,2015-04-07,New Mexico State,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
2015,2015-04-07,Savannah State,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
2015,2015-04-07,St. Francis (Brooklyn),1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
2015,2015-04-04,Connecticut,1,1,1,1,1,1,1,1,1,1,1,1,0.86237,1.0
2015,2015-04-04,Notre Dame,1,1,1,1,1,1,1,1,1,1,1,1,0.13763,0.0
2015,2015-04-04,Maryland,1,1,1,1,1,1,1,1,1,1,0,0,0,0.0
2015,2015-04-04,South Carolina,1,1,1,1,1,1,1,1,1,1,0,0,0,0.0
2015,2015-04-04,Florida State,1,1,1,1,1,1,1,1,0,0,0,0,0,0.0
2015,2015-04-04,Baylor,1,1,1,1,1,1,1,1,0,0,0,0,0,0.0
2015,2015-04-04,Tennessee,1,1,1,1,1,1,1,1,0,0,0,0,0,0.0
2015,2015-04-04,Dayton,1,1,1,1,1,1,1,1,0,0,0,0,0,0.0
2015,2015-04-04,Arizona State,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0
2015,2015-04-04,Louisville,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0
2015,2015-04-04,Iowa,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0
2015,2015-04-04,Stanford,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0
2015,2015-04-04,Duke,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0
2015,2015-04-04,North Carolina,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0
2015,2015-04-04,Texas,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0
2015,2015-04-04,Gonzaga,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0
2015,2015-04-04,Kentucky,1,1,1,1,0,0,0,0,0,0,0,0,0,0.0
