season,forecast_date,team,make_conf_finals,make_conf_finals_outcome,make_finals,make_finals_outcome,make_playoffs,make_playoffs_outcome,make_second_round,make_second_round_outcome,win_finals,win_finals_outcome
2022,2022-06-26,Ducks,0,0,0,0,0,0,0,0,0,0
2022,2022-06-26,Coyotes,0,0,0,0,0,0,0,0,0,0
2022,2022-06-26,Bruins,0,0,0,0,1,1,0,0,0,0
2022,2022-06-26,Sabres,0,0,0,0,0,0,0,0,0,0
2022,2022-06-26,Hurricanes,0,0,0,0,1,1,1,1,0,0
2022,2022-06-26,Blue Jackets,0,0,0,0,0,0,0,0,0,0
2022,2022-06-26,Flames,0,0,0,0,1,1,1,1,0,0
2022,2022-06-26,Blackhawks,0,0,0,0,0,0,0,0,0,0
2022,2022-06-26,Avalanche,1,1,1,1,1,1,1,1,1,1
2022,2022-06-26,Stars,0,0,0,0,1,1,0,0,0,0
2022,2022-06-26,Red Wings,0,0,0,0,0,0,0,0,0,0
2022,2022-06-26,Oilers,1,1,0,0,1,1,1,1,0,0
2022,2022-06-26,Panthers,0,0,0,0,1,1,1,1,0,0
2022,2022-06-26,Kings,0,0,0,0,1,1,0,0,0,0
2022,2022-06-26,Wild,0,0,0,0,1,1,0,0,0,0
2022,2022-06-26,Canadiens,0,0,0,0,0,0,0,0,0,0
2022,2022-06-26,Devils,0,0,0,0,0,0,0,0,0,0
2022,2022-06-26,Predators,0,0,0,0,1,1,0,0,0,0
2022,2022-06-26,Islanders,0,0,0,0,0,0,0,0,0,0
2022,2022-06-26,Rangers,1,1,0,0,1,1,1,1,0,0
2022,2022-06-26,Senators,0,0,0,0,0,0,0,0,0,0
2022,2022-06-26,Flyers,0,0,0,0,0,0,0,0,0,0
2022,2022-06-26,Penguins,0,0,0,0,1,1,0,0,0,0
2022,2022-06-26,Kraken,0,0,0,0,0,0,0,0,0,0
2022,2022-06-26,Sharks,0,0,0,0,0,0,0,0,0,0
2022,2022-06-26,Blues,0,0,0,0,1,1,1,1,0,0
2022,2022-06-26,Lightning,1,1,1,1,1,1,1,1,0,0
2022,2022-06-26,Maple Leafs,0,0,0,0,1,1,0,0,0,0
2022,2022-06-26,Canucks,0,0,0,0,0,0,0,0,0,0
2022,2022-06-26,Golden Knights,0,0,0,0,0,0,0,0,0,0
2022,2022-06-26,Jets,0,0,0,0,0,0,0,0,0,0
2022,2022-06-26,Capitals,0,0,0,0,1,1,0,0,0,0
2022,2022-06-24,Ducks,0,0,0,0,0,0,0,0,0,0
2022,2022-06-24,Coyotes,0,0,0,0,0,0,0,0,0,0
2022,2022-06-24,Bruins,0,0,0,0,1,1,0,0,0,0
2022,2022-06-24,Sabres,0,0,0,0,0,0,0,0,0,0
2022,2022-06-24,Hurricanes,0,0,0,0,1,1,1,1,0,0
2022,2022-06-24,Blue Jackets,0,0,0,0,0,0,0,0,0,0
