year,office,state,district,election_date,forecast_date,forecast_type,party,candidate,projected_voteshare,actual_voteshare,probwin,probwin_outcome
2016,President,AK,,2016-11-08,2016-11-08 16:00:00 -0500,live,R,Trump,,51.28,0.764,1
2016,President,AK,,2016-11-08,2016-11-08 16:00:00 -0500,live,D,Clinton,,36.55,0.2354,0
2016,President,AK,,2016-11-08,2016-11-08 16:00:00 -0500,live,L,Johnson,,5.88,0.0006,0
2016,President,AL,,2016-11-08,2016-11-08 16:00:00 -0500,live,R,Trump,,62.08,0.9993,1
2016,President,AL,,2016-11-08,2016-11-08 16:00:00 -0500,live,D,Clinton,,34.36,0.0006999999999999999,0
2016,President,AL,,2016-11-08,2016-11-08 16:00:00 -0500,live,L,Johnson,,2.09,0.0,0
2016,President,AR,,2016-11-08,2016-11-08 16:00:00 -0500,live,R,Trump,,60.57,0.99625,1
2016,President,AR,,2016-11-08,2016-11-08 16:00:00 -0500,live,D,Clinton,,33.65,0.0037,0
2016,President,AR,,2016-11-08,2016-11-08 16:00:00 -0500,live,L,Johnson,,2.64,5.0e-05,0
2016,President,AZ,,2016-11-08,2016-11-08 16:00:00 -0500,live,R,Trump,,48.08,0.6658,1
2016,President,AZ,,2016-11-08,2016-11-08 16:00:00 -0500,live,D,Clinton,,44.58,0.33410000000000006,0
2016,President,AZ,,2016-11-08,2016-11-08 16:00:00 -0500,live,L,Johnson,,4.08,0.0001,0
2016,President,CA,,2016-11-08,2016-11-08 16:00:00 -0500,live,R,Trump,,31.49,0.00045,0
2016,President,CA,,2016-11-08,2016-11-08 16:00:00 -0500,live,D,Clinton,,61.48,0.9995499999999999,1
2016,President,CA,,2016-11-08,2016-11-08 16:00:00 -0500,live,L,Johnson,,3.36,0.0,0
2016,President,CO,,2016-11-08,2016-11-08 16:00:00 -0500,live,R,Trump,,43.25,0.22445,0
2016,President,CO,,2016-11-08,2016-11-08 16:00:00 -0500,live,D,Clinton,,48.16,0.7753,1
2016,President,CO,,2016-11-08,2016-11-08 16:00:00 -0500,live,L,Johnson,,5.18,0.00025,0
2016,President,CT,,2016-11-08,2016-11-08 16:00:00 -0500,live,R,Trump,,40.93,0.0271,0
2016,President,CT,,2016-11-08,2016-11-08 16:00:00 -0500,live,D,Clinton,,54.57,0.9728,1
2016,President,CT,,2016-11-08,2016-11-08 16:00:00 -0500,live,L,Johnson,,2.96,0.0001,0
2016,President,DC,,2016-11-08,2016-11-08 16:00:00 -0500,live,R,Trump,,4.09,0.0002,0
2016,President,DC,,2016-11-08,2016-11-08 16:00:00 -0500,live,D,Clinton,,90.86,0.9998,1
2016,President,DC,,2016-11-08,2016-11-08 16:00:00 -0500,live,L,Johnson,,1.58,0.0,0
2016,President,DE,,2016-11-08,2016-11-08 16:00:00 -0500,live,R,Trump,,41.71,0.08535,0
2016,President,DE,,2016-11-08,2016-11-08 16:00:00 -0500,live,D,Clinton,,53.09,0.9146,1
2016,President,DE,,2016-11-08,2016-11-08 16:00:00 -0500,live,L,Johnson,,3.33,5.0e-05,0
2016,President,FL,,2016-11-08,2016-11-08 16:00:00 -0500,live,R,Trump,,48.6,0.44915,1
2016,President,FL,,2016-11-08,2016-11-08 16:00:00 -0500,live,D,Clinton,,47.41,0.5508,0
2016,President,FL,,2016-11-08,2016-11-08 16:00:00 -0500,live,L,Johnson,,2.18,5.0e-05,0
2016,President,GA,,2016-11-08,2016-11-08 16:00:00 -0500,live,R,Trump,,50.44,0.7908,1
2016,President,GA,,2016-11-08,2016-11-08 16:00:00 -0500,live,D,Clinton,,45.35,0.20915,0
2016,President,GA,,2016-11-08,2016-11-08 16:00:00 -0500,live,L,Johnson,,3.03,5.0e-05,0
2016,President,HI,,2016-11-08,2016-11-08 16:00:00 -0500,live,R,Trump,,30.04,0.0113,0
2016,President,HI,,2016-11-08,2016-11-08 16:00:00 -0500,live,D,Clinton,,62.22,0.9886500000000001,1
2016,President,HI,,2016-11-08,2016-11-08 16:00:00 -0500,live,L,Johnson,,3.72,5.0e-05,0
2016,President,IA,,2016-11-08,2016-11-08 16:00:00 -0500,live,R,Trump,,51.15,0.69765,1
2016,President,IA,,2016-11-08,2016-11-08 16:00:00 -0500,live,D,Clinton,,41.74,0.30215,0
2016,President,IA,,2016-11-08,2016-11-08 16:00:00 -0500,live,L,Johnson,,3.78,0.0002,0
2016,President,ID,,2016-11-08,2016-11-08 16:00:00 -0500,live,R,Trump,,59.25,0.99045,1
2016,President,ID,,2016-11-08,2016-11-08 16:00:00 -0500,live,D,Clinton,,27.48,0.00935,0
2016,President,ID,,2016-11-08,2016-11-08 16:00:00 -0500,live,L,Johnson,,4.1,0.0002,0
2016,President,IL,,2016-11-08,2016-11-08 16:00:00 -0500,live,R,Trump,,38.36,0.0171,0
2016,President,IL,,2016-11-08,2016-11-08 16:00:00 -0500,live,D,Clinton,,55.24,0.9829000000000001,1
2016,President,IL,,2016-11-08,2016-11-08 16:00:00 -0500,live,L,Johnson,,3.75,0.0,0
2016,President,IN,,2016-11-08,2016-11-08 16:00:00 -0500,live,R,Trump,,56.47,0.97465,1
2016,President,IN,,2016-11-08,2016-11-08 16:00:00 -0500,live,D,Clinton,,37.46,0.0252,0
2016,President,IN,,2016-11-08,2016-11-08 16:00:00 -0500,live,L,Johnson,,4.86,0.00015,0
2016,President,KS,,2016-11-08,2016-11-08 16:00:00 -0500,live,R,Trump,,56.16,0.9728999999999999,1
2016,President,KS,,2016-11-08,2016-11-08 16:00:00 -0500,live,D,Clinton,,35.74,0.02685,0
2016,President,KS,,2016-11-08,2016-11-08 16:00:00 -0500,live,L,Johnson,,4.64,0.00025,0
2016,President,KY,,2016-11-08,2016-11-08 16:00:00 -0500,live,R,Trump,,62.52,0.99605,1
2016,President,KY,,2016-11-08,2016-11-08 16:00:00 -0500,live,D,Clinton,,32.68,0.0038999999999999994,0
2016,President,KY,,2016-11-08,2016-11-08 16:00:00 -0500,live,L,Johnson,,2.79,5.0e-05,0
2016,President,LA,,2016-11-08,2016-11-08 16:00:00 -0500,live,R,Trump,,58.09,0.9946,1
2016,President,LA,,2016-11-08,2016-11-08 16:00:00 -0500,live,D,Clinton,,38.45,0.0054,0
2016,President,LA,,2016-11-08,2016-11-08 16:00:00 -0500,live,L,Johnson,,1.87,0.0,0
2016,President,MA,,2016-11-08,2016-11-08 16:00:00 -0500,live,R,Trump,,32.81,0.00085,0
2016,President,MA,,2016-11-08,2016-11-08 16:00:00 -0500,live,D,Clinton,,60.01,0.9991,1
2016,President,MA,,2016-11-08,2016-11-08 16:00:00 -0500,live,L,Johnson,,4.15,5.0e-05,0
2016,President,MD,,2016-11-08,2016-11-08 16:00:00 -0500,live,R,Trump,,33.91,0.00034999999999999994,0
2016,President,MD,,2016-11-08,2016-11-08 16:00:00 -0500,live,D,Clinton,,60.33,0.9996,1
2016,President,MD,,2016-11-08,2016-11-08 16:00:00 -0500,live,L,Johnson,,2.86,5.0e-05,0
2016,President,ME,,2016-11-08,2016-11-08 16:00:00 -0500,live,R,Trump,,44.87,0.17345,0
2016,President,ME,,2016-11-08,2016-11-08 16:00:00 -0500,live,D,Clinton,,47.83,0.8263000000000001,1
2016,President,ME,,2016-11-08,2016-11-08 16:00:00 -0500,live,L,Johnson,,5.09,0.00025,0
2016,President,ME,1,2016-11-08,2016-11-08 16:00:00 -0500,live,R,Trump,,39.15,0.0845,0
2016,President,ME,1,2016-11-08,2016-11-08 16:00:00 -0500,live,D,Clinton,,53.96,0.91535,1
2016,President,ME,1,2016-11-08,2016-11-08 16:00:00 -0500,live,L,Johnson,,4.71,0.00015,0
2016,President,ME,2,2016-11-08,2016-11-08 16:00:00 -0500,live,R,Trump,,51.26,0.4903,1
2016,President,ME,2,2016-11-08,2016-11-08 16:00:00 -0500,live,D,Clinton,,40.98,0.50935,0
