year,office,state,special,election_date,forecast_date,forecast_type,party,candidate,projected_voteshare,actual_voteshare,probwin,probwin_outcome
2016,Democratic presidential primary,Alabama,,2016-03-01,2016-03-01,polls-only,D,Sanders,25.698812,19.17,0.0,0
2016,Democratic presidential primary,Alabama,,2016-03-01,2016-03-01,polls-plus,D,Sanders,23.196432,19.17,0.0,0
2016,Democratic presidential primary,Alabama,,2016-03-01,2016-03-01,polls-only,D,Clinton,71.369629,77.88,1.0,1
2016,Democratic presidential primary,Alabama,,2016-03-01,2016-03-01,polls-plus,D,Clinton,73.872009,77.88,1.0,1
2016,Democratic presidential primary,Alabama,,2016-03-01,2016-02-29,polls-only,D,Sanders,25.699083,19.17,0.0,0
2016,Democratic presidential primary,Alabama,,2016-03-01,2016-02-29,polls-plus,D,Sanders,23.269176,19.17,0.0,0
2016,Democratic presidential primary,Alabama,,2016-03-01,2016-02-29,polls-only,D,Clinton,71.369392,77.88,1.0,1
2016,Democratic presidential primary,Alabama,,2016-03-01,2016-02-29,polls-plus,D,Clinton,73.799301,77.88,1.0,1
2016,Republican presidential primary,Alabama,,2016-03-01,2016-03-01,polls-only,R,Carson,10.979525,10.24,0.00105,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-03-01,polls-plus,R,Carson,10.923947,10.24,0.00095000002,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-03-01,polls-only,R,Trump,43.421524,43.42,0.96195,1
2016,Republican presidential primary,Alabama,,2016-03-01,2016-03-01,polls-plus,R,Trump,41.426022,43.42,0.94255,1
2016,Republican presidential primary,Alabama,,2016-03-01,2016-03-01,polls-only,R,Kasich,5.5074663,4.43,0.00015000001,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-03-01,polls-plus,R,Kasich,5.6317306,4.43,4.9999999e-05,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-03-01,polls-only,R,Rubio,20.350422,18.66,0.0254,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-03-01,polls-plus,R,Rubio,22.695919,18.66,0.047249999,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-03-01,polls-only,R,Cruz,17.245991,21.09,0.01145,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-03-01,polls-plus,R,Cruz,16.827309,21.09,0.0092000002,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-29,polls-only,R,Carson,10.961907,10.24,0.0011,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-29,polls-plus,R,Carson,10.884637,10.24,0.00105,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-29,polls-only,R,Trump,43.406273,43.42,0.96689999,1
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-29,polls-plus,R,Trump,41.387596,43.42,0.9480999699999999,1
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-29,polls-only,R,Kasich,5.5073009,4.43,0.0,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-29,polls-plus,R,Kasich,5.6378069,4.43,0.0,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-29,polls-only,R,Rubio,20.359453,18.66,0.02265,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-29,polls-plus,R,Rubio,22.698063,18.66,0.042849999,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-29,polls-only,R,Cruz,17.271475,21.09,0.0093499999,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-29,polls-plus,R,Cruz,16.89831,21.09,0.0080000004,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-28,polls-only,R,Carson,10.715562,10.24,0.0048500001,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-28,polls-plus,R,Carson,10.39649,10.24,0.0035000001,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-28,polls-only,R,Trump,39.055584,43.42,0.8528500199999999,1
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-28,polls-plus,R,Trump,36.563812,43.42,0.77855003,1
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-28,polls-only,R,Kasich,7.9863248,4.43,0.0015,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-28,polls-plus,R,Kasich,8.4543505,4.43,0.0011,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-28,polls-only,R,Rubio,23.335651,18.66,0.1154,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-28,polls-plus,R,Rubio,26.241001,18.66,0.19760001,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-28,polls-only,R,Cruz,16.04973,21.09,0.0254,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-28,polls-plus,R,Cruz,15.487203,21.09,0.01925,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-27,polls-only,R,Carson,10.711679,10.24,0.0039499998,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-27,polls-plus,R,Carson,10.41987,10.24,0.0032500001,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-27,polls-only,R,Trump,39.023533,43.42,0.85935003,1
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-27,polls-plus,R,Trump,36.415573,43.42,0.7809,1
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-27,polls-only,R,Kasich,7.9780707,4.43,0.00105,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-27,polls-plus,R,Kasich,8.5400372,4.43,0.00079999998,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-27,polls-only,R,Rubio,23.322317,18.66,0.10905,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-27,polls-plus,R,Rubio,26.26293,18.66,0.19640000000000002,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-27,polls-only,R,Cruz,16.124653,21.09,0.0266,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-27,polls-plus,R,Cruz,15.521844,21.09,0.018650001,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-26,polls-only,R,Carson,10.711679,10.24,0.0039499998,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-26,polls-plus,R,Carson,10.419551,10.24,0.0030499999,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-26,polls-only,R,Trump,39.023533,43.42,0.8682,1
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-26,polls-plus,R,Trump,36.416111,43.42,0.7881,1
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-26,polls-only,R,Kasich,7.9780707,4.43,0.00135,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-26,polls-plus,R,Kasich,8.5371628,4.43,0.00105,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-26,polls-only,R,Rubio,23.322317,18.66,0.1059,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-26,polls-plus,R,Rubio,26.263494,18.66,0.19235,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-26,polls-only,R,Cruz,16.124653,21.09,0.0206,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-26,polls-plus,R,Cruz,15.523941,21.09,0.015449999999999998,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-25,polls-only,R,Carson,9.9503756,10.24,0.0034,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-25,polls-plus,R,Carson,9.483243,10.24,0.0030499999,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-25,polls-only,R,Trump,40.809029,43.42,0.88954997,1
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-25,polls-plus,R,Trump,37.002739,43.42,0.77579999,1
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-25,polls-only,R,Kasich,8.3243666,4.43,0.0019499999,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-25,polls-plus,R,Kasich,8.9799328,4.43,0.0018,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-25,polls-only,R,Rubio,22.337734,18.66,0.086099997,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-25,polls-plus,R,Rubio,26.512665,18.66,0.20440000000000003,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-25,polls-only,R,Cruz,14.586538,21.09,0.018999999,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-25,polls-plus,R,Cruz,14.029466,21.09,0.014949999999999998,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-24,polls-only,R,Carson,9.9324875,10.24,0.00385,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-24,polls-plus,R,Carson,9.3163137,10.24,0.0024999999,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-24,polls-only,R,Trump,40.833275,43.42,0.89319998,1
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-24,polls-plus,R,Trump,37.021423,43.42,0.77555001,1
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-24,polls-only,R,Kasich,8.296525,4.43,0.00155,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-24,polls-plus,R,Kasich,8.9656458,4.43,0.0019499999,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-24,polls-only,R,Rubio,22.356331,18.66,0.085749999,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-24,polls-plus,R,Rubio,26.545527,18.66,0.20725,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-24,polls-only,R,Cruz,14.609971,21.09,0.01565,0
2016,Republican presidential primary,Alabama,,2016-03-01,2016-02-24,polls-plus,R,Cruz,14.179691,21.09,0.01275,0
2016,Republican presidential primary,Arizona,,2016-03-22,2016-03-22,polls-only,R,Trump,46.432278,45.95,0.9451500200000001,1
2016,Republican presidential primary,Arizona,,2016-03-22,2016-03-22,polls-plus,R,Trump,45.208366,45.95,0.91280001,1
2016,Republican presidential primary,Arizona,,2016-03-22,2016-03-22,polls-only,R,Kasich,17.916103,10.57,0.00044999999,0
2016,Republican presidential primary,Arizona,,2016-03-22,2016-03-22,polls-plus,R,Kasich,18.413771,10.57,0.00044999999,0
2016,Republican presidential primary,Arizona,,2016-03-22,2016-03-22,polls-only,R,Cruz,33.21954,27.61,0.054400001,0
2016,Republican presidential primary,Arizona,,2016-03-22,2016-03-22,polls-plus,R,Cruz,33.945789,27.61,0.08675000100000001,0
