year,office,state,district,special,election_date,forecast_date,forecast_type,party,candidate,projected_voteshare,actual_voteshare,probwin,probwin_outcome
2018,Senate,AZ,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,D,,,,0.6714,1
2018,Senate,AZ,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,R,,,,0.3286,0
2018,Senate,CT,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,D,,,,0.9983,1
2018,Senate,CT,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,R,,,,0.0017000000000000348,0
2018,Senate,DE,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,D,,,,0.9994,1
2018,Senate,DE,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,R,,,,0.0006000000000000449,0
2018,Senate,FL,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,D,,,,0.7313,0
2018,Senate,FL,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,R,,,,0.26870000000000005,1
2018,Senate,IN,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,D,,,,0.617,0
2018,Senate,IN,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,R,,,,0.383,1
2018,Senate,MA,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,D,,,,0.9989,1
2018,Senate,MA,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,R,,,,0.0010999999999999899,0
2018,Senate,ME,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,D,,,,0.9944,1
2018,Senate,ME,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,R,,,,0.005600000000000049,0
2018,Senate,MI,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,D,,,,0.9844,1
2018,Senate,MI,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,R,,,,0.015599999999999947,0
2018,Senate,MN,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,D,,,,0.9986,1
2018,Senate,MN,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,R,,,,0.0013999999999999568,0
2018,Senate,MN,,true,2018-11-06,2018-11-06 16:34:29 -0500,live,D,,,,0.9387,1
2018,Senate,MN,,true,2018-11-06,2018-11-06 16:34:29 -0500,live,R,,,,0.06130000000000002,0
2018,Senate,MO,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,D,,,,0.4718,0
2018,Senate,MO,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,R,,,,0.5282,1
2018,Senate,MS,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,D,,,,0.0073,0
2018,Senate,MS,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,R,,,,0.9927,1
2018,Senate,MS,,true,2018-11-06,2018-11-06 16:34:29 -0500,live,D,,,,0.2722,0
2018,Senate,MS,,true,2018-11-06,2018-11-06 16:34:29 -0500,live,R,,,,0.7278,1
2018,Senate,MT,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,D,,,,0.7593,1
2018,Senate,MT,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,R,,,,0.24070000000000003,0
2018,Senate,ND,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,D,,,,0.2333,0
2018,Senate,ND,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,R,,,,0.7666999999999999,1
2018,Senate,NE,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,D,,,,0.0105,0
2018,Senate,NE,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,R,,,,0.9895,1
2018,Senate,NJ,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,D,,,,0.9379,1
2018,Senate,NJ,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,R,,,,0.062100000000000044,0
2018,Senate,NM,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,D,,,,0.9954,1
2018,Senate,NM,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,R,,,,0.0046000000000000485,0
2018,Senate,NV,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,D,,,,0.6389,1
2018,Senate,NV,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,R,,,,0.3611,0
2018,Senate,NY,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,D,,,,0.9998,1
2018,Senate,NY,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,R,,,,0.00019999999999997797,0
2018,Senate,OH,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,D,,,,0.982,1
2018,Senate,OH,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,R,,,,0.018000000000000016,0
2018,Senate,PA,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,D,,,,0.9871,1
2018,Senate,PA,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,R,,,,0.012900000000000023,0
2018,Senate,RI,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,D,,,,0.9995,1
2018,Senate,RI,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,R,,,,0.0004999999999999449,0
2018,Senate,TN,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,D,,,,0.2049,0
2018,Senate,TN,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,R,,,,0.7951,1
2018,Senate,TX,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,D,,,,0.188,0
2018,Senate,TX,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,R,,,,0.812,1
2018,Senate,UT,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,D,,,,0.0006,0
2018,Senate,UT,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,R,,,,0.9994,1
2018,Senate,VA,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,D,,,,0.9938,1
2018,Senate,VA,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,R,,,,0.006199999999999983,0
2018,Senate,WA,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,D,,,,0.9973,1
2018,Senate,WA,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,R,,,,0.0027000000000000357,0
2018,Senate,WI,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,D,,,,0.9859,1
2018,Senate,WI,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,R,,,,0.014100000000000001,0
2018,Senate,WV,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,D,,,,0.873,1
2018,Senate,WV,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,R,,,,0.127,0
2018,Senate,WY,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,D,,,,0.0002,0
2018,Senate,WY,,false,2018-11-06,2018-11-06 16:34:29 -0500,live,R,,,,0.9998,1
2018,Senate,AZ,,false,2018-11-06,2018-11-06 16:47:53 -0500,live,D,,,,0.6714,1
2018,Senate,AZ,,false,2018-11-06,2018-11-06 16:47:53 -0500,live,R,,,,0.3286,0
2018,Senate,CT,,false,2018-11-06,2018-11-06 16:47:53 -0500,live,D,,,,0.9983,1
2018,Senate,CT,,false,2018-11-06,2018-11-06 16:47:53 -0500,live,R,,,,0.0017000000000000348,0
2018,Senate,DE,,false,2018-11-06,2018-11-06 16:47:53 -0500,live,D,,,,0.9994,1
2018,Senate,DE,,false,2018-11-06,2018-11-06 16:47:53 -0500,live,R,,,,0.0006000000000000449,0
2018,Senate,FL,,false,2018-11-06,2018-11-06 16:47:53 -0500,live,D,,,,0.7313,0
2018,Senate,FL,,false,2018-11-06,2018-11-06 16:47:53 -0500,live,R,,,,0.26870000000000005,1
2018,Senate,IN,,false,2018-11-06,2018-11-06 16:47:53 -0500,live,D,,,,0.617,0
2018,Senate,IN,,false,2018-11-06,2018-11-06 16:47:53 -0500,live,R,,,,0.383,1
2018,Senate,MA,,false,2018-11-06,2018-11-06 16:47:53 -0500,live,D,,,,0.9989,1
2018,Senate,MA,,false,2018-11-06,2018-11-06 16:47:53 -0500,live,R,,,,0.0010999999999999899,0
2018,Senate,ME,,false,2018-11-06,2018-11-06 16:47:53 -0500,live,D,,,,0.9944,1
2018,Senate,ME,,false,2018-11-06,2018-11-06 16:47:53 -0500,live,R,,,,0.005600000000000049,0
2018,Senate,MI,,false,2018-11-06,2018-11-06 16:47:53 -0500,live,D,,,,0.9844,1
2018,Senate,MI,,false,2018-11-06,2018-11-06 16:47:53 -0500,live,R,,,,0.015599999999999947,0
2018,Senate,MN,,false,2018-11-06,2018-11-06 16:47:53 -0500,live,D,,,,0.9986,1
2018,Senate,MN,,false,2018-11-06,2018-11-06 16:47:53 -0500,live,R,,,,0.0013999999999999568,0
2018,Senate,MN,,true,2018-11-06,2018-11-06 16:47:53 -0500,live,D,,,,0.9387,1
2018,Senate,MN,,true,2018-11-06,2018-11-06 16:47:53 -0500,live,R,,,,0.06130000000000002,0
2018,Senate,MO,,false,2018-11-06,2018-11-06 16:47:53 -0500,live,D,,,,0.4718,0
2018,Senate,MO,,false,2018-11-06,2018-11-06 16:47:53 -0500,live,R,,,,0.5282,1
2018,Senate,MS,,false,2018-11-06,2018-11-06 16:47:53 -0500,live,D,,,,0.0073,0
2018,Senate,MS,,false,2018-11-06,2018-11-06 16:47:53 -0500,live,R,,,,0.9927,1
2018,Senate,MS,,true,2018-11-06,2018-11-06 16:47:53 -0500,live,D,,,,0.2792,0
2018,Senate,MS,,true,2018-11-06,2018-11-06 16:47:53 -0500,live,R,,,,0.7208,1
2018,Senate,MT,,false,2018-11-06,2018-11-06 16:47:53 -0500,live,D,,,,0.7593,1
2018,Senate,MT,,false,2018-11-06,2018-11-06 16:47:53 -0500,live,R,,,,0.24070000000000003,0
2018,Senate,ND,,false,2018-11-06,2018-11-06 16:47:53 -0500,live,D,,,,0.2333,0
2018,Senate,ND,,false,2018-11-06,2018-11-06 16:47:53 -0500,live,R,,,,0.7666999999999999,1
2018,Senate,NE,,false,2018-11-06,2018-11-06 16:47:53 -0500,live,D,,,,0.0105,0
2018,Senate,NE,,false,2018-11-06,2018-11-06 16:47:53 -0500,live,R,,,,0.9895,1
