season,date,team1,team2,prob1,prob1_outcome,prob2,prob2_outcome
2022,2022-09-18,Sun,Aces,0.6588131777693481,0,0.3411868222306519,1
2022,2022-09-15,Sun,Aces,0.5766612650015631,1,0.4233387349984369,0
2022,2022-09-13,Aces,Sun,0.6645003483751487,1,0.3354996516248513,0
2022,2022-09-11,Aces,Sun,0.6480139037898303,1,0.35198609621016974,0
2022,2022-09-08,Sky,Sun,0.5861607399305165,0,0.41383926006948346,1
2022,2022-09-06,Storm,Aces,0.5323347574346189,0,0.4676652425653811,1
2022,2022-09-06,Sun,Sky,0.6335971766636277,1,0.3664028233363723,0
2022,2022-09-04,Storm,Aces,0.6063475501212257,0,0.39365244987877435,1
2022,2022-09-04,Sun,Sky,0.6769919236450299,0,0.3230080763549701,1
2022,2022-08-31,Aces,Storm,0.6521713242889636,1,0.3478286757110364,0
2022,2022-08-31,Sky,Sun,0.5639713031777353,1,0.43602869682226475,0
2022,2022-08-28,Sky,Sun,0.6085275337679172,0,0.39147246623208276,1
2022,2022-08-28,Aces,Storm,0.690783049188277,0,0.30921695081172296,1
2022,2022-08-24,Wings,Sun,0.44406858691654894,0,0.5559314130834511,1
2022,2022-08-23,Liberty,Sky,0.4416209115219631,0,0.5583790884780369,1
2022,2022-08-21,Storm,Mystics,0.7160704047786303,1,0.28392959522136973,0
2022,2022-08-21,Sun,Wings,0.8658398596682594,0,0.13416014033174062,1
2022,2022-08-20,Aces,Mercury,0.8852973645947282,1,0.11470263540527181,0
2022,2022-08-20,Sky,Liberty,0.7636662483677138,1,0.2363337516322862,0
2022,2022-08-18,Storm,Mystics,0.7038066476327792,1,0.2961933523672208,0
2022,2022-08-18,Sun,Wings,0.8550595674666572,1,0.14494043253334277,0
2022,2022-08-17,Aces,Mercury,0.8797671058640636,1,0.12023289413593641,0
2022,2022-08-17,Sky,Liberty,0.8214691122366895,0,0.1785308877633105,1
2022,2022-08-14,Sparks,Wings,0.4705261792234555,0,0.5294738207765445,1
2022,2022-08-14,Mercury,Sky,0.4027099902171749,0,0.5972900097828251,1
2022,2022-08-14,Mystics,Fever,0.9175979246119185,1,0.08240207538808153,0
2022,2022-08-14,Aces,Storm,0.6345963827307276,1,0.3654036172692724,0
2022,2022-08-14,Liberty,Dream,0.7223291290672651,1,0.2776708709327349,0
2022,2022-08-14,Sun,Lynx,0.8057511685213988,1,0.19424883147860117,0
2022,2022-08-12,Mercury,Wings,0.563909031316023,1,0.436090968683977,0
2022,2022-08-12,Lynx,Storm,0.5186626897635841,0,0.4813373102364159,1
2022,2022-08-12,Dream,Liberty,0.5370396151003223,0,0.4629603848996777,1
2022,2022-08-12,Fever,Mystics,0.19331490803537107,0,0.8066850919646289,1
2022,2022-08-11,Sparks,Sun,0.2538761860279237,0,0.7461238139720763,1
2022,2022-08-11,Aces,Sky,0.6162281873665139,1,0.38377181263348614,0
2022,2022-08-10,Mercury,Lynx,0.5531203296602338,0,0.44687967033976617,1
2022,2022-08-10,Wings,Liberty,0.7168391168176296,0,0.2831608831823704,1
2022,2022-08-09,Sparks,Sun,0.28555842790808483,0,0.7144415720919152,1
2022,2022-08-09,Aces,Dream,0.8329862427887542,1,0.16701375721124578,0
2022,2022-08-09,Sky,Storm,0.7190495974497344,0,0.2809504025502656,1
2022,2022-08-08,Wings,Liberty,0.6993949875849987,1,0.30060501241500126,0
2022,2022-08-07,Lynx,Dream,0.703253948682581,1,0.29674605131741905,0
2022,2022-08-07,Mystics,Sparks,0.8345101427436139,0,0.1654898572563861,1
2022,2022-08-07,Storm,Aces,0.5768791134565107,0,0.42312088654348934,1
2022,2022-08-07,Sky,Sun,0.6152654003426022,1,0.38473459965739776,0
2022,2022-08-06,Mercury,Liberty,0.6021836146702135,1,0.39781638532978647,0
2022,2022-08-06,Wings,Fever,0.8847850672258608,1,0.11521493277413919,0
2022,2022-08-05,Sky,Mystics,0.6725228636182081,1,0.3274771363817919,0
2022,2022-08-05,Dream,Sparks,0.6699630093343562,1,0.33003699066564385,0
2022,2022-08-04,Wings,Aces,0.456100210175228,1,0.5438997898247719,0
2022,2022-08-04,Sun,Mercury,0.816351741065187,1,0.18364825893481296,0
2022,2022-08-03,Storm,Lynx,0.6939049734441637,1,0.3060950265558363,0
2022,2022-08-03,Dream,Fever,0.8176510989711563,1,0.1823489010288437,0
2022,2022-08-03,Liberty,Sparks,0.700684758847451,1,0.29931524115254904,0
2022,2022-08-02,Sky,Wings,0.8124714742467365,0,0.1875285257532635,1
2022,2022-08-02,Sun,Mercury,0.8008553782494022,1,0.19914462175059777,0
2022,2022-08-02,Liberty,Sparks,0.6527125691085439,1,0.3472874308914561,0
2022,2022-08-02,Mystics,Aces,0.5414519811631786,1,0.4585480188368214,0
2022,2022-07-31,Sparks,Lynx,0.5014374065293222,0,0.4985625934706778,1
2022,2022-07-31,Fever,Aces,0.15685546673119766,0,0.8431445332688023,1
2022,2022-07-31,Mystics,Storm,0.603268717536487,1,0.39673128246351297,0
2022,2022-07-31,Liberty,Mercury,0.5085338813356252,1,0.49146611866437484,0
