season,league,team1,team2,period,mins,prob1,prob1_outcome,probtie,probtie_outcome,prob2,prob2_outcome
2018,FIFA World Cup,Russia,Saudi Arabia,1,0,0.66,1,0.22,0,0.12,0
2018,FIFA World Cup,Russia,Saudi Arabia,1,1,0.66,1,0.22,0,0.12,0
2018,FIFA World Cup,Russia,Saudi Arabia,1,2,0.66,1,0.22,0,0.12,0
2018,FIFA World Cup,Russia,Saudi Arabia,1,3,0.66,1,0.22,0,0.12,0
2018,FIFA World Cup,Russia,Saudi Arabia,1,4,0.66,1,0.22,0,0.12,0
2018,FIFA World Cup,Russia,Saudi Arabia,1,5,0.65,1,0.23,0,0.12,0
2018,FIFA World Cup,Russia,Saudi Arabia,1,6,0.65,1,0.23,0,0.12,0
2018,FIFA World Cup,Russia,Saudi Arabia,1,7,0.65,1,0.23,0,0.12,0
2018,FIFA World Cup,Russia,Saudi Arabia,1,8,0.65,1,0.23,0,0.12,0
2018,FIFA World Cup,Russia,Saudi Arabia,1,9,0.65,1,0.23,0,0.12,0
2018,FIFA World Cup,Russia,Saudi Arabia,1,10,0.64,1,0.24,0,0.12,0
2018,FIFA World Cup,Russia,Saudi Arabia,1,11,0.65,1,0.23,0,0.12,0
2018,FIFA World Cup,Russia,Saudi Arabia,1,12,0.85,1,0.11,0,0.04,0
2018,FIFA World Cup,Russia,Saudi Arabia,1,13,0.85,1,0.11,0,0.04,0
2018,FIFA World Cup,Russia,Saudi Arabia,1,14,0.85,1,0.11,0,0.04,0
2018,FIFA World Cup,Russia,Saudi Arabia,1,15,0.85,1,0.11,0,0.04,0
2018,FIFA World Cup,Russia,Saudi Arabia,1,16,0.85,1,0.11,0,0.04,0
2018,FIFA World Cup,Russia,Saudi Arabia,1,17,0.85,1,0.11,0,0.04,0
2018,FIFA World Cup,Russia,Saudi Arabia,1,18,0.85,1,0.11,0,0.04,0
2018,FIFA World Cup,Russia,Saudi Arabia,1,19,0.85,1,0.11,0,0.04,0
2018,FIFA World Cup,Russia,Saudi Arabia,1,20,0.84,1,0.12,0,0.04,0
2018,FIFA World Cup,Russia,Saudi Arabia,1,21,0.84,1,0.12,0,0.04,0
2018,FIFA World Cup,Russia,Saudi Arabia,1,22,0.84,1,0.12,0,0.04,0
2018,FIFA World Cup,Russia,Saudi Arabia,1,23,0.84,1,0.12,0,0.04,0
2018,FIFA World Cup,Russia,Saudi Arabia,1,24,0.84,1,0.12,0,0.04,0
2018,FIFA World Cup,Russia,Saudi Arabia,1,25,0.84,1,0.12,0,0.04,0
