season,league,date,team1,team2,prob1,prob1_outcome,probtie,probtie_outcome,prob2,prob2_outcome
2018,FIFA World Cup,2018-06-14,Russia,Saudi Arabia,0.661512322467233,1,0.218446094599216,0,0.120041582933551,0
2018,FIFA World Cup,2018-06-15,Egypt,Uruguay,0.184481801368328,0,0.27225928624869,0,0.543258912382983,1
2018,FIFA World Cup,2018-06-15,Morocco,Iran,0.4003607650598,0,0.332977458445593,0,0.266661776494607,1
2018,FIFA World Cup,2018-06-15,Portugal,Spain,0.245902525004678,0,0.273230897271563,1,0.480866577723759,0
2018,FIFA World Cup,2018-06-16,France,Australia,0.769364860303673,1,0.156020406606946,0,0.074614733089381,0
2018,FIFA World Cup,2018-06-16,Argentina,Iceland,0.609052502055741,0,0.240579698307432,1,0.150367799636826,0
2018,FIFA World Cup,2018-06-16,Peru,Denmark,0.294223589211862,0,0.287766834517921,0,0.418009576270217,1
2018,FIFA World Cup,2018-06-16,Croatia,Nigeria,0.506212639968349,1,0.290029617285802,0,0.203757742745849,0
2018,FIFA World Cup,2018-06-17,Costa Rica,Serbia,0.231198791735284,0,0.279843304358983,0,0.488957903905733,1
2018,FIFA World Cup,2018-06-17,Germany,Mexico,0.627576568507165,0,0.218710822851797,0,0.153712608641038,1
2018,FIFA World Cup,2018-06-17,Brazil,Switzerland,0.58838738882999,0,0.24729627244218,1,0.164316338727829,0
2018,FIFA World Cup,2018-06-18,Sweden,South Korea,0.544293402808068,1,0.266743155697986,0,0.188963441493946,0
2018,FIFA World Cup,2018-06-18,Belgium,Panama,0.767868957246752,1,0.165336905440102,0,0.066794137313146,0
2018,FIFA World Cup,2018-06-18,Tunisia,England,0.09439208604842,0,0.218234830278274,0,0.687373083673306,1
2018,FIFA World Cup,2018-06-19,Colombia,Japan,0.484422239277835,0,0.284017061263606,0,0.231560699458559,1
2018,FIFA World Cup,2018-06-19,Poland,Senegal,0.454598475736871,0,0.286961027284384,0,0.258440496978745,1
2018,FIFA World Cup,2018-06-19,Russia,Egypt,0.564153880637259,1,0.271406443212983,0,0.164439676149758,0
2018,FIFA World Cup,2018-06-20,Portugal,Morocco,0.540908278523298,1,0.282009809476451,0,0.177081912000251,0
2018,FIFA World Cup,2018-06-20,Uruguay,Saudi Arabia,0.752927634541604,1,0.174706067716162,0,0.072366297742234,0
2018,FIFA World Cup,2018-06-20,Iran,Spain,0.065458199503827,0,0.177351576136497,0,0.757190224359676,1
2018,FIFA World Cup,2018-06-21,Denmark,Australia,0.539436995200036,0,0.255394272264764,1,0.2051687325352,0
2018,FIFA World Cup,2018-06-21,France,Peru,0.583750706684589,1,0.244726286230961,0,0.17152300708445,0
2018,FIFA World Cup,2018-06-21,Argentina,Croatia,0.403410099818741,0,0.30861796304546,0,0.287971937135799,1
2018,FIFA World Cup,2018-06-22,Brazil,Costa Rica,0.785511168615997,1,0.164600001907471,0,0.049888829476532,0
2018,FIFA World Cup,2018-06-22,Nigeria,Iceland,0.343327627054758,1,0.297502531830065,0,0.359169841115177,0
2018,FIFA World Cup,2018-06-22,Serbia,Switzerland,0.297476292204047,0,0.28636556672758,0,0.416158141068374,1
2018,FIFA World Cup,2018-06-23,Belgium,Tunisia,0.756391714068067,1,0.166139897148869,0,0.077468388783064,0
2018,FIFA World Cup,2018-06-23,South Korea,Mexico,0.186316378793884,0,0.265930948606973,0,0.547752672599143,1
2018,FIFA World Cup,2018-06-23,Germany,Sweden,0.583037665975733,1,0.239145649081817,0,0.177816684942451,0
2018,FIFA World Cup,2018-06-24,England,Panama,0.757364068010653,1,0.188882399530712,0,0.053753532458635,0
2018,FIFA World Cup,2018-06-24,Japan,Senegal,0.408192228911328,0,0.294797605190678,1,0.297010165897994,0
2018,FIFA World Cup,2018-06-24,Poland,Colombia,0.292374362268535,0,0.287097497755088,0,0.420528139976377,1
2018,FIFA World Cup,2018-06-25,Uruguay,Russia,0.353174441826608,1,0.294520900931606,0,0.352304657241786,0
